,ca1_d_0,ca1_d_1,ca1_d_2,ca1_v_0,ca1_v_1,ca1_v_2,ca2_0,ca2_1,ca2_2,ca3_d_0,ca3_d_1,ca3_d_2,ca3_v_0,ca3_v_1,ca3_v_2,ca4_0,ca4_1,ca4_2,dg_d_0,dg_d_1,dg_d_2,dg_v_0,dg_v_1,dg_v_2
ENSMUSG00000000001,8.98357,8.52375,6.0706,12.9841,8.05464,8.41703,10.1721,12.4433,9.54232,16.5709,17.3619,20.9718,11.138,9.20328,11.1764,7.10643,16.3404,8.57385,4.82633,12.5972,6.97025,10.4092,13.3813,11.4998
ENSMUSG00000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000028,0.0245797,0.246157,0.335059,3.79092,0.252802,0.0742045,2.42518,1.73219,2.4652,0.613249,0.384422,0.86756,0.364964,2.32874,1.05174,0.888673,1.58615,0.596451,0.0,0.0,0.0,6.89535,0.898232,0.0
ENSMUSG00000000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43956,0.0,0.0944493,0.0,0.0,0.0,0.0245765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000037,0.00884359,0.0248176,0.0,0.0,0.0,0.265094,0.0565415,0.0548553,1.98056,0.0838886,0.0111551,0.0,0.0920603,0.125339,0.339265,0.0870799,0.0,0.0308816,0.0,0.0,0.0337652,0.187201,0.512007,0.210169
ENSMUSG00000000049,0.612038,0.0602339,0.0,0.122312,0.0,0.0,0.474064,0.0901171,0.804838,0.244382,0.0,0.0,0.246263,0.0,0.0313899,0.0,1.09823,0.0,0.0,0.0,0.824749,0.0,0.0,0.0
ENSMUSG00000000056,9.63694,18.8951,11.8412,24.5426,13.6781,14.6455,20.3391,16.5068,10.218,10.5074,13.823,9.12965,15.3122,10.0586,14.5677,8.1241,10.5138,10.8555,6.46943,3.12899,6.99707,16.5138,7.06752,8.29166
ENSMUSG00000000058,0.423254,0.0131103,0.0178464,1.88734,2.3842,1.7511,0.927498,0.804393,1.23583,0.878693,0.843566,1.56637,1.08002,0.079369,0.35718,0.262101,0.290329,0.0,0.0,0.0,0.0,0.106479,0.346211,0.150308
ENSMUSG00000000078,13.0651,12.0908,10.2938,26.0927,18.7415,19.2562,15.5424,9.94322,14.2706,9.15383,12.8662,17.5501,5.80806,7.11906,17.7071,36.9244,33.3707,23.9929,20.0274,6.4833,5.35295,6.10612,6.08342,5.66522
ENSMUSG00000000085,28.2414,34.1176,34.607,25.3972,24.364,33.4271,30.4863,18.5368,25.2522,24.3322,31.8846,22.4769,30.5948,20.8884,27.8728,26.6614,22.3029,28.5525,42.3589,21.3405,43.7831,30.6673,36.2951,29.5412
ENSMUSG00000000088,107.603,91.0822,72.2423,114.328,89.5608,107.738,102.496,118.196,125.31,104.681,94.9236,117.486,84.9427,89.847,99.9897,199.727,185.752,173.021,157.371,132.631,146.032,40.9919,68.1437,53.5723
ENSMUSG00000000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0565748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183973,0.0211193,0.0
ENSMUSG00000000094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000120,0.0,0.0,0.0,0.0,0.0,0.037583,0.05953,0.0777999,0.0772035,0.103085,0.0470464,0.0,0.0,0.062947,0.173437,1.59914,1.30028,2.80083,0.0,0.0,0.0,0.0387165,0.0666672,0.0198646
ENSMUSG00000000125,0.626762,0.0,0.206133,0.473167,0.0,0.0421037,0.0166726,0.348632,0.0,0.211722,0.105411,0.0568797,0.0146909,0.0987261,0.170012,1.64344,0.12139,2.60289,0.0,0.0,0.0531779,0.281928,0.0,0.0
ENSMUSG00000000126,1.96265,5.16149,1.57241,5.12926,2.09,1.87301,0.0,0.0161554,0.0,0.30325,0.130258,0.0,0.748766,1.79075,1.06951,1.4824,1.70212,2.49526,3.94548,0.0,1.18283,2.25053,2.97688,0.495142
ENSMUSG00000000127,13.9995,17.1954,18.1368,17.4754,12.3091,9.6725,18.1539,15.1774,13.1619,11.4217,16.3985,17.3673,11.8489,11.7547,12.0149,10.7859,7.10674,10.651,9.64298,10.0144,14.8179,8.85006,8.76575,7.11615
ENSMUSG00000000131,58.4715,77.9446,55.5541,64.5475,44.1647,55.7589,51.9017,61.2283,65.8966,74.8499,75.5085,88.2177,59.603,53.8155,63.8797,48.3768,64.106,63.1566,182.317,170.275,68.315,60.6463,80.3771,61.6702
ENSMUSG00000000134,4.89302,9.82036,8.50189,8.39897,3.70366,7.2616,5.69475,7.92298,11.6888,4.40328,7.00576,6.06353,5.3472,6.49571,4.75168,5.71113,7.49727,7.55858,23.3953,3.41961,18.0449,8.95812,3.99298,5.93865
ENSMUSG00000000142,3.94323,4.3863,4.28226,7.89601,8.00435,2.16473,2.03385,6.12001,2.22945,3.90492,1.77997,2.8076,3.74271,3.17479,6.88821,10.8327,10.0845,8.2097,3.91281,3.23367,22.5826,15.8872,15.4228,8.67293
ENSMUSG00000000148,1.83178,1.35533,0.595162,2.49869,2.48488,1.12685,1.74212,1.19047,1.72413,1.54662,1.2971,0.841628,1.23089,1.06599,1.49454,0.851922,3.16715,1.46506,5.07672,0.196469,2.23459,1.78147,1.28666,0.932117
ENSMUSG00000000149,4.33959,2.94741,3.24114,9.09725,6.71033,5.84097,17.0174,19.9833,16.1096,4.8702,6.47032,6.06083,7.39484,6.32516,8.07006,10.9615,9.52349,6.10215,4.22078,4.39598,1.48443,5.62254,6.63667,2.08406
ENSMUSG00000000154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000159,0.0,0.0,0.0,0.0,0.0,0.161788,0.183111,0.064718,0.0,0.0,0.0,0.0,0.0,0.0,0.0436442,0.0,0.0,0.0,0.368716,0.0,0.0,0.165655,0.0,0.130063
