,8_B_CBP,8_T_CBP,5_B_WT,5_T_WT,16_B_WT,16_T_WT,15_B_WT,15_T_WT,21_B_CBP,21_T_CBP,6_B_WT,6_T_WT,10_B_CBP,10_T_CBP,66_B_CBP,66_T_CBP,44_T_WT,44_B_WT,2_B_WT,2_T_WT,_B_WT,_T_WT,42_B_CBP,42_T_CBP
ENSMUSG00000000001,5016,5323,4597,5887,4121,6081,4896,6175,4608,6596,5052,5208,4660,6227,5043,6120,5994,5810,5411,5608,4740,5453,5092,5910
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,73.000001,156,100.999999,107,68.000001,95,123.000001,104,87,134.999999,133,132,102,113,128,135,143.000001,124,108,105,104.999999,146,99.999999,110
ENSMUSG00000000037,7,7.000002,0,9,0,15,0,9.999999,1,23.000001,0,4,1,13,2,20,21,0,2,6,0,5.999999,3,14
ENSMUSG00000000049,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000000056,2152.999999,1699,2559,1804,2183,1824,2274.993455,1845.999999,2142,2014.989119,2659.000001,1825,2473,1938,3005.999999,1988.9982,1962,2754,2854.000001,1777,2824,1896,2423,1700
ENSMUSG00000000058,7,10,8,7,3,6,7,7,12,4,10,10,10,1,12,11,10,28,20,8,11,4,10,14
ENSMUSG00000000078,17816.97625,22066.97742,18656.768744,29212.598923,15844.274228,27301.757958,18575.192974,27535.458439,16628.358438,28978.863458,24147.945751,25955.024112,15317.127065,21282.051094,16549.722034,21374.582906,28699.672345,22283.525022,19090.22321,25297.622269,15824.581818,22947.726607,19342.886848,25093.201575
ENSMUSG00000000085,936.017551,761.229381,1079.12467,676.478272,1006.716172,812.913398,1129.137348,712.951082,921.549912,962.741093,1013.350033,747.000961,968.36373,796.020199,1146.895331,765.450297,750.501905,1191.1107,1161.925218,767.535023,946.935088,630.834359,1280.370442,840.398514
ENSMUSG00000000088,1011.518598,1243.171639,1061.815904,1262.837763,785.181439,1241.900064,1087.17802,1361.723465,872.989134,1268.885418,978.138779,1156.875656,1079.177156,1459.052093,1041.525512,1393.423398,1357.757076,1126.879183,1092.234005,1198.721651,1066.057307,1302.975523,1140.839731,1247.729561
ENSMUSG00000000093,21,27,31,27,22,29,18,22,31,53,30,31,27,16,32,30,22,30,27,30,15,22,50,25
